fcstDate,fcstTime,T1H,VEC,WSD,RN1,REH
20230922,1000,21,293,1,0,80
20230922,1100,23,291,1,0,75
20230922,1200,24,291,1,0,70
20230922,1300,25,311,1,0,65
20230922,1400,25,319,2,0,60
20230922,1500,26,326,1,0,55
