fcstDate,fcstTime,T1H,VEC,WSD,RN1,REH
20230919,1300,27,7,1,0,60
20230919,1400,28,331,1,0,55
20230919,1500,28,326,1,0,55
20230919,1600,28,314,1,0,55
20230919,1700,27,315,1,0,65
20230919,1800,26,319,1,0,75
