fcstDate,fcstTime,T1H,VEC,WSD,RN1,REH
20230922,1000,20,304,1,0,80
20230922,1100,22,292,1,0,70
20230922,1200,23,295,1,0,65
20230922,1300,24,307,2,0,65
20230922,1400,24,317,2,0,60
20230922,1500,25,325,2,0,55
