관측 일시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-12-01,0.80,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.8,0.76,0.76,0.75,0.75,0.74,0.75,0.74,0.74,0.73,0.74,0.73,0.73,0.73,0.73
2021-11-30,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.65,0.63,0.66,0.67,0.67,0.67,0.69,0.7,0.73,0.74,0.81,0.81,0.81,0.81,0.8,0.8
2021-11-29,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.62,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.64,0.64,0.63
2021-11-28,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.64,0.64,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-27,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-26,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-25,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-24,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-23,0.65,0.65,0.64,0.65,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.65,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.64,0.64,0.64
2021-11-22,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2021-11-21,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2021-11-20,0.66,0.66,0.66,0.66,0.65,0.65,0.66,0.66,0.65,0.66,0.65,0.66,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2021-11-19,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.66,0.66,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.66
2021-11-18,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
2021-11-17,0.67,0.66,0.66,0.66,0.67,0.67,0.67,0.66,0.66,0.67,0.66,0.66,0.66,0.67,0.66,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
2021-11-16,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2021-11-15,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2021-11-14,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2021-11-13,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.68,0.66,0.67,0.67,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2021-11-12,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2021-11-11,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.69,0.68,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68
2021-11-10,0.70,0.7,0.69,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2021-11-09,0.78,0.77,0.77,0.76,0.75,0.75,0.75,0.74,0.74,0.78,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.7,0.7,0.7
2021-11-08,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.66,0.63,0.71,0.72,0.72,0.72,0.74,0.76,0.77,0.77,0.8,0.81,0.81,0.8,0.8,0.79
2021-11-07,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.63,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
2021-11-06,0.64,0.64,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.63,0.64,0.63,0.64,0.64,0.63,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63
2021-11-05,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.64,0.63,0.64,0.64,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-04,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-03,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-02,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-11-01,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.65,0.64,0.65,0.64,0.65,0.64,0.64,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64
2021-10-31,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2021-10-30,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2021-10-29,0.66,0.65,0.65,0.65,0.66,0.65,0.65,0.65,0.65,0.66,0.65,0.64,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2021-10-28,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.66,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.66
2021-10-27,0.67,0.66,0.66,0.66,0.66,0.66,0.67,0.66,0.66,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
2021-10-26,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.66
2021-10-25,0.67,0.68,0.68,0.67,0.67,0.68,0.67,0.67,0.67,0.67,0.68,0.67,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2021-10-24,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.68,0.68,0.68,0.68,0.67,0.68,0.68,0.68,0.68,0.67,0.68,0.68
2021-10-23,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.69,0.68,0.68,0.68,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2021-10-22,0.70,0.7,0.7,0.7,0.7,0.69,0.69,0.7,0.69,0.7,0.7,0.69,0.69,0.69,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2021-10-21,0.70,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
2021-10-20,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.71,0.71,0.71,0.7,0.71,0.7,0.7,0.71
